EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-25.643,-21.166,-23.169,-11.386,-5.751,-10.849,2.653,-3.467,-0.033,0.970,-0.287,-0.671,0.031,-0.916,93.333,13161.000,1.000
-18.877,-17.029,-18.162,-6.810,-0.281,-6.062,9.539,3.757,-0.033,0.969,-0.286,-0.519,0.092,-1.038,93.333,13162.000,1.000
-18.351,-17.101,-17.157,-5.316,-0.180,-6.810,9.414,6.083,-0.032,0.969,-0.284,-0.336,-0.031,-1.160,93.333,13163.000,1.000
-20.805,-18.164,-17.784,-7.139,-3.365,-10.499,4.744,4.217,-0.031,0.966,-0.286,-0.336,0.000,-1.160,93.333,13164.000,1.000
-14.825,-12.414,-12.774,-4.209,-1.403,-8.429,4.822,5.581,-0.029,0.964,-0.288,-0.366,0.153,-1.282,93.333,13165.000,1.000
-7.126,-6.972,-8.583,-0.647,0.635,-5.456,5.537,5.936,-0.027,0.964,-0.287,-0.183,0.183,-1.282,93.333,13166.000,1.000
-11.753,-12.742,-15.127,-6.849,-6.231,-10.871,-1.808,-2.686,-0.026,0.965,-0.288,0.122,0.275,-1.221,93.333,13167.000,1.000
-24.375,-24.443,-27.189,-19.228,-16.828,-20.911,-12.842,-15.150,-0.027,0.968,-0.292,0.366,0.244,-1.312,93.333,13168.000,1.000
-31.060,-29.296,-32.014,-25.236,-20.333,-25.353,-17.184,-20.624,-0.030,0.970,-0.294,0.732,0.305,-1.312,93.333,13169.000,1.000
-26.335,-23.059,-24.771,-19.483,-13.770,-19.957,-11.552,-15.826,-0.028,0.971,-0.294,0.824,0.305,-1.373,93.333,13170.000,1.000
-16.182,-11.818,-12.223,-8.138,-2.832,-9.591,-1.707,-6.372,-0.027,0.971,-0.289,0.854,0.458,-1.251,93.333,13171.000,1.000
-11.001,-6.253,-6.298,-2.566,2.496,-4.977,2.345,-1.808,-0.025,0.970,-0.286,0.824,0.427,-1.160,93.333,13172.000,1.000
-14.559,-11.086,-10.801,-6.703,-2.249,-11.044,-2.943,-5.883,-0.027,0.971,-0.284,0.732,0.610,-0.946,93.333,13173.000,1.000
-20.934,-19.076,-16.937,-12.683,-9.855,-19.801,-9.974,-11.883,-0.031,0.974,-0.281,0.793,0.671,-1.007,93.333,13174.000,1.000
-21.232,-20.263,-15.434,-11.931,-10.268,-20.359,-9.499,-11.304,-0.036,0.974,-0.282,0.916,0.702,-1.129,93.333,13175.000,1.000
-14.501,-14.061,-7.521,-5.210,-2.857,-12.224,-1.288,-4.051,-0.038,0.977,-0.284,0.854,0.610,-1.190,93.333,13176.000,1.000
-8.672,-7.909,-1.371,0.367,3.763,-4.748,6.044,2.397,-0.039,0.978,-0.287,0.732,0.397,-1.221,93.333,13177.000,1.000
-7.641,-6.646,-1.080,0.911,3.320,-4.754,5.799,2.788,-0.038,0.977,-0.287,0.580,0.366,-1.373,93.333,13178.000,1.000
-8.211,-9.336,-4.654,-2.055,-2.523,-10.684,-0.556,-1.768,-0.035,0.977,-0.286,0.580,0.244,-1.434,93.333,13179.000,1.000
-10.871,-14.680,-10.756,-7.347,-10.484,-19.079,-9.150,-9.186,-0.034,0.978,-0.284,0.488,0.214,-1.465,93.333,13180.000,1.000
-19.521,-20.708,-17.831,-13.505,-17.758,-26.806,-16.554,-17.007,-0.036,0.977,-0.284,0.427,0.122,-1.434,93.333,13181.000,1.000
-31.012,-24.434,-22.636,-18.281,-21.926,-31.139,-20.920,-22.356,-0.034,0.978,-0.284,0.427,0.031,-1.495,93.333,13182.000,1.000
-38.185,-26.307,-25.016,-22.800,-24.046,-32.995,-23.933,-25.689,-0.033,0.977,-0.286,0.275,0.000,-1.343,93.333,13183.000,1.000
-35.802,-24.112,-22.705,-23.315,-21.412,-29.398,-21.841,-23.952,-0.032,0.977,-0.286,0.244,0.000,-1.282,93.333,13184.000,1.000
-21.649,-12.113,-10.900,-11.628,-8.251,-14.433,-8.339,-11.879,-0.032,0.974,-0.286,0.153,-0.092,-1.221,93.333,13185.000,1.000
-5.601,4.024,3.819,5.266,8.123,3.723,7.962,2.350,-0.031,0.972,-0.287,0.153,-0.122,-1.251,93.333,13186.000,1.000
-1.899,12.143,10.063,12.331,15.186,11.654,14.377,6.856,-0.032,0.972,-0.289,0.092,-0.122,-1.190,93.333,13187.000,1.000
-9.258,11.080,8.179,9.105,13.447,10.586,13.007,4.262,-0.033,0.970,-0.289,0.153,-0.092,-1.129,93.333,13188.000,1.000
