EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
12.633,32.511,23.802,19.302,30.382,32.727,10.968,27.021,-0.039,0.956,-0.335,0.244,-0.244,-0.702,86.667,92377.000,1.000
15.902,34.845,25.825,19.690,31.162,34.182,13.024,27.950,-0.039,0.956,-0.334,0.397,-0.366,-0.763,86.667,92378.000,1.000
18.887,34.747,25.532,18.822,29.020,32.410,11.186,24.955,-0.037,0.957,-0.336,0.519,-0.366,-0.946,86.667,92379.000,1.000
17.014,28.859,18.800,13.514,20.741,24.846,3.048,16.451,-0.033,0.957,-0.334,0.549,-0.366,-0.977,86.667,92380.000,1.000
13.220,22.286,11.238,8.362,12.244,17.503,-4.721,9.522,-0.035,0.959,-0.334,0.641,-0.427,-1.068,86.667,92381.000,1.000
10.496,19.552,8.208,7.365,8.649,15.025,-7.279,8.298,-0.035,0.962,-0.340,0.610,-0.336,-1.129,86.667,92382.000,1.000
7.013,17.847,6.497,7.570,6.254,13.561,-8.822,7.974,-0.034,0.958,-0.341,0.519,-0.427,-1.129,86.667,92383.000,1.000
2.801,15.328,3.679,6.824,2.418,10.034,-12.440,6.019,-0.035,0.960,-0.337,0.549,-0.397,-1.190,86.667,92384.000,1.000
2.077,14.392,2.960,8.047,1.097,7.459,-14.194,6.891,-0.034,0.961,-0.336,0.488,-0.336,-1.160,86.667,92385.000,1.000
5.419,14.857,5.387,12.073,3.886,7.552,-11.894,12.104,-0.034,0.962,-0.334,0.580,-0.275,-1.221,86.667,92386.000,1.000
8.528,13.926,7.684,15.221,6.722,8.103,-9.246,16.977,-0.036,0.964,-0.336,0.610,-0.183,-1.251,86.667,92387.000,1.000
9.177,11.481,8.058,15.801,7.258,8.202,-8.596,18.649,-0.036,0.966,-0.335,0.549,-0.336,-1.190,86.667,92388.000,1.000
9.080,10.076,8.444,16.443,7.751,9.376,-7.597,19.443,-0.036,0.963,-0.335,0.397,-0.305,-1.190,86.667,92389.000,1.000
10.672,10.971,10.460,18.749,9.516,11.362,-5.543,21.362,-0.035,0.962,-0.336,0.214,-0.275,-1.038,86.667,92390.000,1.000
14.389,13.332,13.586,21.355,11.181,12.301,-4.735,23.183,-0.034,0.960,-0.335,0.061,-0.366,-1.007,86.667,92391.000,1.000
19.209,17.143,17.526,24.033,13.199,13.502,-4.099,24.201,-0.031,0.962,-0.336,0.000,-0.275,-0.916,86.667,92392.000,1.000
22.638,21.975,21.207,26.539,16.335,16.756,-1.454,24.208,-0.033,0.960,-0.334,0.031,-0.244,-0.793,86.667,92393.000,1.000
21.025,24.379,21.656,24.986,17.212,18.586,-0.512,20.387,-0.033,0.960,-0.335,0.122,-0.244,-0.702,86.667,92394.000,1.000
16.124,23.803,19.371,18.641,14.533,16.552,-4.193,13.026,-0.032,0.961,-0.334,0.122,-0.183,-0.671,86.667,92395.000,1.000
