EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.182,-0.960,-8.817,-4.886,3.655,11.558,6.020,7.092,-0.029,0.969,-0.315,-0.488,-0.061,-0.244,93.333,22289.000,1.000
0.494,-3.572,-10.969,-5.819,2.321,9.891,4.672,5.855,-0.029,0.969,-0.314,-0.580,0.031,-0.275,93.333,22290.000,1.000
1.222,-5.639,-12.461,-6.032,0.532,7.333,2.681,3.933,-0.025,0.969,-0.316,-0.732,0.000,-0.275,93.333,22291.000,1.000
-1.772,-9.045,-14.536,-8.649,-3.665,2.040,-1.404,-1.431,-0.024,0.968,-0.316,-0.763,0.000,-0.305,93.333,22292.000,1.000
-3.459,-11.043,-14.972,-11.051,-7.154,-2.917,-5.242,-6.698,-0.025,0.965,-0.315,-0.763,0.061,-0.305,93.333,22293.000,1.000
-1.452,-10.412,-14.236,-11.621,-8.098,-5.391,-6.632,-8.479,-0.025,0.964,-0.317,-0.854,0.031,-0.458,93.333,22294.000,1.000
0.593,-9.150,-13.995,-11.397,-7.444,-6.530,-5.224,-6.995,-0.025,0.964,-0.318,-0.854,0.031,-0.488,93.333,22295.000,1.000
4.257,-5.117,-9.670,-6.798,-2.192,-3.893,1.119,-0.491,-0.028,0.965,-0.316,-0.793,0.031,-0.580,93.333,22296.000,1.000
11.800,2.401,-0.375,2.700,7.481,3.129,10.263,9.354,-0.026,0.965,-0.313,-0.702,-0.031,-0.641,93.333,22297.000,1.000
16.926,6.529,4.737,8.158,12.578,7.016,13.423,13.461,-0.028,0.962,-0.315,-0.671,0.000,-0.671,93.333,22298.000,1.000
14.979,3.808,1.740,5.225,9.077,3.923,8.018,8.435,-0.026,0.961,-0.318,-0.671,0.092,-0.610,93.333,22299.000,1.000
11.840,1.059,-1.088,1.581,4.981,1.211,2.775,3.017,-0.025,0.962,-0.320,-0.610,0.031,-0.671,93.333,22300.000,1.000
14.301,4.913,3.077,4.336,7.830,6.104,5.782,5.591,-0.027,0.961,-0.319,-0.488,0.122,-0.732,93.333,22301.000,1.000
17.829,10.418,8.141,8.372,12.988,13.557,12.096,11.410,-0.028,0.962,-0.318,-0.427,0.031,-0.763,93.333,22302.000,1.000
15.075,9.120,5.568,5.679,11.930,14.237,11.490,10.875,-0.029,0.962,-0.318,-0.397,-0.031,-0.763,93.333,22303.000,1.000
11.263,4.088,-0.091,0.388,7.303,10.246,5.972,6.255,-0.029,0.963,-0.314,-0.244,-0.031,-0.763,93.333,22304.000,1.000
12.545,1.635,-1.532,-0.874,5.304,8.178,3.002,4.465,-0.031,0.963,-0.313,-0.214,-0.031,-0.763,93.333,22305.000,1.000
11.124,-1.884,-3.705,-3.044,2.294,5.715,0.104,2.320,-0.030,0.964,-0.313,-0.214,-0.153,-0.793,93.333,22306.000,1.000
