EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-14.763,-7.751,-16.830,-7.191,-1.332,-2.363,8.566,16.057,-0.030,0.959,-0.333,-0.671,0.366,-0.244,93.333,38121.000,1.000
-12.538,-6.264,-14.378,-3.236,2.680,-0.225,11.085,20.883,-0.030,0.961,-0.331,-0.610,0.427,-0.305,93.333,38122.000,1.000
-13.023,-7.192,-14.455,-1.889,4.019,-0.448,10.276,22.670,-0.029,0.959,-0.335,-0.610,0.549,-0.244,93.333,38123.000,1.000
-16.953,-11.618,-17.825,-5.119,0.989,-4.353,6.333,20.186,-0.030,0.959,-0.333,-0.580,0.458,-0.214,93.333,38124.000,1.000
-18.703,-14.450,-19.396,-8.189,-1.849,-7.750,3.727,17.085,-0.032,0.960,-0.332,-0.610,0.519,-0.275,93.333,38125.000,1.000
-15.837,-12.588,-16.177,-6.792,-0.626,-6.558,4.918,16.720,-0.032,0.961,-0.331,-0.610,0.519,-0.336,93.333,38126.000,1.000
-13.047,-9.801,-11.988,-3.332,2.143,-2.962,6.901,17.405,-0.031,0.961,-0.332,-0.610,0.458,-0.366,93.333,38127.000,1.000
-14.544,-11.288,-12.472,-3.741,0.889,-3.091,4.857,14.469,-0.029,0.960,-0.329,-0.519,0.458,-0.427,93.333,38128.000,1.000
-17.773,-17.013,-17.810,-9.311,-5.477,-8.880,-1.675,7.196,-0.030,0.960,-0.328,-0.519,0.427,-0.458,93.333,38129.000,1.000
-17.058,-21.380,-21.559,-13.870,-10.958,-14.638,-7.094,1.583,-0.031,0.959,-0.330,-0.488,0.397,-0.519,93.333,38130.000,1.000
-12.742,-21.001,-20.062,-13.217,-11.159,-15.744,-7.633,1.632,-0.030,0.957,-0.330,-0.366,0.366,-0.488,93.333,38131.000,1.000
-10.320,-18.333,-17.564,-11.188,-9.116,-14.367,-5.861,4.073,-0.031,0.957,-0.333,-0.336,0.397,-0.549,93.333,38132.000,1.000
