EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
21.409,25.831,21.777,24.025,28.749,28.607,19.105,22.853,-0.026,0.968,-0.297,0.336,-0.580,-0.458,86.667,102945.000,1.000
32.390,31.967,29.684,29.790,33.689,32.060,24.598,26.968,-0.026,0.970,-0.294,0.336,-0.488,-0.610,86.667,102946.000,1.000
39.448,35.096,32.929,31.741,34.290,32.782,26.932,26.948,-0.024,0.970,-0.297,0.336,-0.549,-0.610,86.667,102947.000,1.000
37.227,30.272,26.796,25.227,26.461,27.120,22.203,19.640,-0.024,0.971,-0.298,0.336,-0.549,-0.580,86.667,102948.000,1.000
28.034,18.587,14.004,12.574,12.598,16.395,11.644,7.267,-0.025,0.974,-0.299,0.336,-0.549,-0.641,86.667,102949.000,1.000
20.515,7.890,3.505,1.871,0.815,6.788,1.926,-3.435,-0.026,0.975,-0.299,0.275,-0.397,-0.641,86.667,102950.000,1.000
19.387,2.942,0.005,-1.973,-4.339,1.454,-2.485,-8.532,-0.025,0.977,-0.299,0.153,-0.336,-0.702,86.667,102951.000,1.000
20.623,0.613,0.210,-1.356,-5.731,-2.539,-4.216,-11.102,-0.023,0.978,-0.297,-0.092,-0.336,-0.732,86.667,102952.000,1.000
21.363,-0.687,1.853,1.170,-5.523,-5.178,-6.311,-13.935,-0.022,0.978,-0.294,-0.183,-0.214,-0.671,86.667,102953.000,1.000
22.394,1.115,5.230,4.784,-3.380,-2.977,-8.514,-16.312,-0.022,0.980,-0.298,-0.427,-0.183,-0.610,86.667,102954.000,1.000
22.599,5.336,8.416,7.651,-0.453,3.185,-10.160,-17.468,-0.023,0.982,-0.297,-0.641,-0.275,-0.610,86.667,102955.000,1.000
20.935,9.731,9.984,9.754,2.601,9.799,-10.703,-15.928,-0.024,0.983,-0.294,-0.793,-0.244,-0.580,86.667,102956.000,1.000
18.543,14.087,11.280,13.096,6.833,16.161,-9.134,-9.156,-0.024,0.980,-0.294,-0.946,-0.031,-0.519,86.667,102957.000,1.000
17.399,19.509,13.736,18.100,12.809,23.433,-4.445,3.069,-0.025,0.978,-0.293,-1.160,-0.061,-0.549,86.667,102958.000,1.000
17.343,25.738,17.054,22.918,19.571,30.943,2.991,16.709,-0.022,0.977,-0.290,-1.160,-0.061,-0.458,86.667,102959.000,1.000
12.686,27.353,16.238,22.268,22.092,33.402,7.506,23.445,-0.023,0.973,-0.291,-1.282,-0.031,-0.458,86.667,102960.000,1.000
0.136,19.829,7.109,12.782,16.424,27.675,3.750,18.777,-0.023,0.971,-0.296,-1.312,-0.092,-0.366,86.667,102961.000,1.000
-11.859,10.009,-3.283,1.778,9.209,21.375,-2.137,10.744,-0.023,0.970,-0.297,-1.343,-0.061,-0.397,86.667,102962.000,1.000
-12.857,8.558,-4.580,-0.392,9.861,23.461,-0.171,10.067,-0.022,0.970,-0.300,-1.343,-0.031,-0.336,86.667,102963.000,1.000
-2.800,16.898,4.331,7.329,18.354,32.508,9.613,17.044,-0.024,0.971,-0.299,-1.190,0.000,-0.366,86.667,102964.000,1.000
10.097,27.111,15.715,16.713,26.573,40.158,18.405,23.272,-0.026,0.972,-0.296,-1.099,0.000,-0.427,86.667,102965.000,1.000
16.802,30.036,20.059,18.313,26.679,40.204,18.685,21.119,-0.028,0.970,-0.294,-1.038,0.000,-0.336,86.667,102966.000,1.000
16.890,26.350,17.561,13.413,21.048,35.825,13.767,13.668,-0.029,0.974,-0.293,-1.068,-0.122,-0.519,86.667,102967.000,1.000
18.867,24.698,17.253,11.822,18.782,34.508,12.768,10.405,-0.030,0.971,-0.294,-1.038,-0.244,-0.366,86.667,102968.000,1.000
24.006,24.927,19.570,13.421,18.918,33.893,14.393,10.416,-0.030,0.971,-0.295,-1.099,-0.275,-0.427,86.667,102969.000,1.000
25.085,19.396,16.596,9.768,13.350,26.809,10.427,5.469,-0.026,0.971,-0.297,-1.129,-0.458,-0.366,86.667,102970.000,1.000
22.819,10.785,9.987,3.008,5.013,17.820,3.349,-1.867,-0.024,0.971,-0.293,-1.038,-0.366,-0.336,86.667,102971.000,1.000
22.467,7.203,7.192,1.161,2.194,15.262,1.356,-3.201,-0.021,0.969,-0.294,-0.977,-0.427,-0.305,86.667,102972.000,1.000
20.689,5.500,5.480,2.103,2.018,14.894,2.309,-0.671,-0.022,0.970,-0.295,-0.824,-0.488,-0.214,86.667,102973.000,1.000
12.893,-0.459,-0.254,0.674,-1.253,9.894,0.245,-0.416,-0.020,0.971,-0.294,-0.793,-0.549,-0.214,86.667,102974.000,1.000
4.238,-5.711,-4.989,0.317,-3.257,5.207,-2.088,0.147,-0.020,0.969,-0.295,-0.732,-0.488,-0.153,86.667,102975.000,1.000
1.923,-2.537,-1.991,6.296,2.504,9.132,1.236,6.891,-0.019,0.967,-0.294,-0.671,-0.519,-0.031,86.667,102976.000,1.000
4.293,7.136,6.727,16.356,13.688,20.171,9.376,18.838,-0.017,0.969,-0.294,-0.641,-0.458,0.061,86.667,102977.000,1.000
5.277,15.328,14.013,23.745,22.437,29.520,15.791,29.220,-0.019,0.972,-0.290,-0.519,-0.183,0.183,86.667,102978.000,1.000
3.203,18.363,16.632,25.703,25.388,32.531,16.605,33.796,-0.019,0.973,-0.292,-0.458,-0.153,0.214,86.667,102979.000,1.000
0.527,18.085,16.473,24.548,25.093,31.639,13.483,33.469,-0.021,0.973,-0.296,-0.305,-0.153,0.061,86.667,102980.000,1.000
