yes,3.0,5.0,15.0,06-Oct-2019.23h28m02s468935,-0.446
no,3.0,5.0,15.0,06-Oct-2019.23h28m44s157564,-0.626
yes,3.0,5.0,15.0,06-Oct-2019.23h29m16s859568,0.329
no,3.0,5.0,15.0,06-Oct-2019.23h29m48s093105,-1.149
no,5.0,3.0,15.0,06-Oct-2019.23h30m24s453761,-1.076
yes,5.0,3.0,15.0,06-Oct-2019.23h31m35s353046,-3.782
yes,5.0,3.0,15.0,06-Oct-2019.23h32m04s623390,0.177
no,5.0,3.0,15.0,06-Oct-2019.23h32m35s904408,0.153
yes,5.0,3.0,15.0,06-Oct-2019.23h33m04s991634,3.906
no,5.0,3.0,15.0,06-Oct-2019.23h33m31s667569,nan
